# x_m, y_m, w_tr_right_m, w_tr_left_m
-2.565269, 1.384617, 0.696419, 0.696419
-2.541169, 1.330684, 0.680074, 0.680074
-2.523320, 1.269978, 0.694622, 0.694622
-2.511551, 1.205279, 0.670820, 0.670820
-2.511551, 1.128811, 0.632456, 0.632456
-2.504408, 1.049384, 0.618466, 0.618466
-2.497265, 0.969957, 0.602080, 0.602080
-2.490122, 0.890530, 0.600000, 0.600000
-2.481482, 0.811723, 0.583095, 0.583095
-2.471360, 0.733531, 0.550000, 0.550000
-2.464217, 0.654104, 0.552268, 0.552268
-2.457074, 0.574677, 0.552268, 0.552268
-2.449932, 0.495250, 0.550000, 0.550000
-2.437128, 0.418168, 0.522015, 0.522015
-2.416003, 0.344533, 0.559017, 0.559017
-2.393103, 0.271633, 0.538516, 0.538516
-2.367526, 0.199842, 0.570088, 0.570088
-2.333628, 0.131497, 0.559017, 0.559017
-2.289315, 0.071651, 0.570088, 0.570088
-2.235589, 0.017887, 0.604152, 0.604152
-2.178200, -0.032359, 0.680074, 0.680074
-2.120811, -0.082605, 0.715891, 0.715891
-2.058372, -0.114229, 0.715891, 0.715891
-1.994979, -0.131510, 0.743303, 0.743303
-1.928355, -0.139946, 0.715891, 0.715891
-1.863119, -0.138491, 0.707107, 0.707107
-1.795527, -0.131348, 0.701783, 0.701783
-1.725488, -0.118298, 0.650000, 0.650000
-1.652002, -0.096927, 0.650000, 0.650000
-1.575069, -0.083764, 0.650000, 0.650000
-1.495642, -0.076621, 0.650000, 0.650000
-1.415999, -0.070000, 0.602080, 0.602080
-1.333614, -0.070000, 0.608276, 0.608276
-1.251228, -0.070000, 0.632456, 0.632456
-1.169191, -0.069160, 0.608276, 0.608276
-1.089764, -0.062017, 0.602080, 0.602080
-1.010337, -0.054874, 0.570088, 0.570088
-0.930910, -0.047732, 0.559017, 0.559017
-0.852201, -0.038857, 0.550000, 0.550000
-0.775733, -0.024571, 0.550000, 0.550000
-0.699264, -0.010285, 0.600000, 0.600000
-0.622448, 0.003160, 0.600000, 0.600000
-0.543022, 0.010303, 0.600000, 0.600000
-0.463595, 0.017446, 0.600000, 0.600000
-0.384168, 0.024589, 0.600000, 0.600000
-0.304024, 0.030000, 0.650000, 0.650000
-0.223961, 0.035608, 0.650000, 0.650000
-0.144534, 0.042751, 0.650000, 0.650000
-0.065108, 0.049894, 0.650000, 0.650000
0.014319, 0.057037, 0.650000, 0.650000
0.093746, 0.064180, 0.650000, 0.650000
0.173173, 0.071322, 0.650000, 0.650000
