x_m,y_m,v_mps
-2.688491,1.402241,2.4831
-2.669666,1.303661,2.4819
-2.643987,1.206641,2.5124
-2.612069,1.111490,2.5697
-2.574300,1.018507,2.6238
-2.531079,0.927929,2.6772
-2.482793,0.839947,2.7304
-2.429782,0.754728,2.7808
-2.372344,0.672429,2.8267
-2.310739,0.593200,2.8666
-2.245197,0.517196,2.8986
-2.175925,0.444574,2.9210
-2.103104,0.375513,2.9282
-2.026948,0.310147,2.8854
-1.947644,0.248640,2.8729
-1.865279,0.191294,2.8689
-1.780102,0.138217,2.8511
-1.692299,0.089606,2.8334
-1.602082,0.045636,2.7945
-1.509680,0.006467,2.7800
-1.415317,-0.027709,2.7475
-1.319300,-0.056919,2.7337
-1.221833,-0.080848,2.7264
-1.123241,-0.099605,2.7542
-1.023895,-0.113846,2.8221
-0.924077,-0.124279,2.9101
-0.824001,-0.131843,3.0124
-0.723797,-0.137450,3.1301
-0.623521,-0.141603,3.2507
-0.523245,-0.145722,3.3776
-0.422991,-0.150360,3.5005
-0.322807,-0.156324,3.4260
-0.222771,-0.164405,3.3553
-0.123015,-0.175410,3.3263
-0.023724,-0.190025,3.3388
0.074937,-0.208420,3.3607
0.172845,-0.230475,3.4067
0.269891,-0.256060,3.4613
0.365979,-0.285033,3.5225
0.461033,-0.317236,3.5895
0.555023,-0.352427,3.6667
0.647865,-0.390542,3.7383
0.739567,-0.431324,3.8184
0.830137,-0.474559,3.9074
0.919610,-0.520024,3.9977
1.008042,-0.567481,4.0902
1.095521,-0.616673,4.1858
1.182192,-0.667273,4.2864
1.268179,-0.719029,4.3891
1.353649,-0.771634,4.4904
1.438794,-0.824763,4.5887
1.523803,-0.878110,4.6846
1.608875,-0.931357,4.6233
1.694205,-0.984187,4.5178
1.779987,-1.036283,4.4154
1.866397,-1.087328,4.3185
1.953598,-1.137011,4.2293
2.041730,-1.185022,4.1494
2.130905,-1.231068,4.0807
2.221203,-1.274869,4.0240
2.312674,-1.316166,3.9800
2.405332,-1.354725,3.9482
2.499161,-1.390341,3.9240
2.594111,-1.422851,3.9497
2.690149,-1.451987,3.9497
2.787113,-1.477880,3.9758
2.884894,-1.500487,3.9915
2.983427,-1.519556,3.9915
3.082553,-1.535257,3.9915
3.182120,-1.547859,4.0371
3.282004,-1.557634,4.0985
3.382105,-1.564851,4.1700
