x_m,y_m
1.141217,0.171217
1.199824,0.100591
1.267306,0.036177
1.342651,-0.021793
1.424849,-0.073088
1.512886,-0.117478
1.605752,-0.154731
1.702434,-0.184616
1.801922,-0.206903
1.903203,-0.221360
2.005266,-0.227757
2.107188,-0.225949
2.208607,-0.216353
2.309382,-0.199600
2.409374,-0.176325
2.508443,-0.147164
2.606448,-0.112748
2.703249,-0.073714
2.798707,-0.030695
2.892681,0.015676
2.985032,0.064762
3.075619,0.115932
3.164302,0.168549
3.251004,0.222087
3.335866,0.276385
3.419076,0.331363
3.500821,0.386939
3.581289,0.443034
3.660669,0.499566
3.739148,0.556456
3.816913,0.613622
3.894154,0.670984
3.971057,0.728461
4.047810,0.785974
4.124602,0.843440
4.201620,0.900781
4.279052,0.957914
4.357086,1.014760
4.435910,1.071238
4.515711,1.127267
4.596678,1.182767
4.678999,1.237658
4.762860,1.291858
4.848451,1.345287
4.935958,1.397864
5.025570,1.449510
5.117475,1.500142
5.211752,1.549630
5.308152,1.597682
5.406364,1.643979
5.506080,1.688201
5.606987,1.730029
5.708776,1.769143
5.811136,1.805223
5.913757,1.837950
6.016329,1.867004
6.118541,1.892065
6.220082,1.912814
6.320643,1.928932
6.419913,1.940097
6.517581,1.945991
6.613337,1.946295
6.706872,1.940688
6.797873,1.928851
6.886032,1.910463
6.971037,1.885207
7.052579,1.852761
7.130346,1.812807
7.204029,1.765023
7.273316,1.709092
7.337884,1.644783
7.397271,1.572674
7.450945,1.493768
7.498376,1.409074
7.539030,1.319601
7.572376,1.226356
7.597882,1.130348
7.615014,1.032584
7.623242,0.934074
7.622033,0.835825
7.610855,0.738846
7.589248,0.644093
7.557565,0.551952
7.516675,0.462444
7.467453,0.375584
7.410775,0.291389
7.347518,0.209875
7.278558,0.131059
7.204770,0.054955
7.127030,-0.018420
7.046216,-0.089050
6.963202,-0.156919
6.878864,-0.222011
6.794079,-0.284309
6.709576,-0.343844
6.625416,-0.400851
6.541472,-0.455623
6.457617,-0.508455
6.373725,-0.559640
6.289667,-0.609472
6.205319,-0.658244
6.120552,-0.706251
6.035240,-0.753786
5.949255,-0.801143
5.862471,-0.848615
5.774762,-0.896497
5.686098,-0.945072
5.596860,-0.994579
5.507534,-1.045248
5.418603,-1.097307
5.330554,-1.150985
5.243870,-1.206511
5.159037,-1.264113
5.076540,-1.324021
4.996863,-1.386463
4.920492,-1.451668
4.847911,-1.519865
4.779605,-1.591282
4.715992,-1.666054
4.657270,-1.744014
4.603599,-1.824939
4.555136,-1.908605
4.512039,-1.994786
4.474467,-2.083259
4.442577,-2.173799
4.416528,-2.266181
4.396478,-2.360183
4.382584,-2.455579
4.375005,-2.552144
4.373881,-2.649656
4.379035,-2.747913
4.390021,-2.846727
4.406384,-2.945915
4.427670,-3.045290
4.453424,-3.144669
4.483191,-3.243866
4.516517,-3.342695
4.552947,-3.440972
4.592027,-3.538513
4.633302,-3.635130
4.676316,-3.730640
4.720616,-3.824858
4.765772,-3.917618
4.811593,-4.008940
4.858016,-4.098943
4.904982,-4.187751
4.952429,-4.275483
5.000298,-4.362262
5.048528,-4.448210
5.097058,-4.533447
5.145828,-4.618096
5.194778,-4.702278
5.243847,-4.786115
5.292975,-4.869727
5.342102,-4.953237
5.391166,-5.036767
5.440108,-5.120437
5.488866,-5.204369
5.537382,-5.288685
5.585593,-5.373507
5.633440,-5.458956
5.680863,-5.545153
5.727800,-5.632220
5.774192,-5.720279
5.819978,-5.809452
5.865098,-5.899858
5.909505,-5.991599
5.953279,-6.084575
5.996562,-6.178591
6.039496,-6.273449
6.082225,-6.368953
6.124891,-6.464905
6.167636,-6.561109
6.210603,-6.657366
6.253936,-6.753480
6.297775,-6.849254
6.342265,-6.944491
6.387547,-7.038993
6.433765,-7.132563
6.481061,-7.225005
6.529577,-7.316121
6.579457,-7.405713
6.630843,-7.493586
6.683877,-7.579541
6.738703,-7.663382
6.795462,-7.744912
6.854298,-7.823932
6.915353,-7.900247
6.978769,-7.973659
7.044691,-8.043971
7.113259,-8.110986
7.184587,-8.174532
7.258609,-8.234593
7.335193,-8.291209
7.414208,-8.344420
7.495522,-8.394266
7.579004,-8.440787
7.664522,-8.484022
7.751946,-8.524013
7.841142,-8.560799
7.931980,-8.594419
8.024329,-8.624915
8.118056,-8.652325
8.213030,-8.676691
8.309120,-8.698052
8.406194,-8.716448
8.504121,-8.731919
8.602769,-8.744505
8.702006,-8.754247
8.801702,-8.761183
8.901724,-8.765355
9.001941,-8.766803
9.102221,-8.765565
9.202433,-8.761683
9.302447,-8.755196
9.402173,-8.746167
9.501607,-8.734699
9.600752,-8.720900
9.699612,-8.704878
9.798190,-8.686742
9.896491,-8.666598
9.994517,-8.644556
10.092274,-8.620722
10.189763,-8.595207
10.286990,-8.568116
10.383957,-8.539559
