x_m,y_m,v_mps
0.7985,-0.0845,5.432
0.8730,-0.1514,5.237
0.9580,-0.2041,5.192
1.0500,-0.2436,5.102
1.1462,-0.2714,5.020
1.2444,-0.2905,4.960
1.3440,-0.3010,4.748
1.4441,-0.3006,4.527
1.5436,-0.2896,4.398
1.6419,-0.2707,4.406
1.7390,-0.2464,4.462
1.8349,-0.2178,4.536
1.9298,-0.1859,4.620
2.0237,-0.1513,4.717
2.1168,-0.1144,4.819
2.2091,-0.0759,4.932
2.3010,-0.0360,5.047
2.3923,0.0050,5.169
2.4833,0.0467,5.297
2.5740,0.0890,5.433
2.6645,0.1317,5.572
2.7549,0.1747,5.712
2.8452,0.2179,5.851
2.9355,0.2610,5.990
3.0258,0.3042,6.115
3.1161,0.3475,6.255
3.2064,0.3907,6.391
3.2966,0.4340,6.513
3.3868,0.4774,6.650
3.4770,0.5209,6.782
3.5671,0.5645,6.912
3.6570,0.6084,7.038
3.7467,0.6528,7.155
3.8363,0.6974,7.276
3.9258,0.7423,7.394
4.0151,0.7876,7.506
4.1041,0.8334,7.615
4.1929,0.8796,7.721
4.2814,0.9263,7.827
4.3697,0.9735,7.859
4.4577,1.0211,7.720
4.5457,1.0689,7.581
4.6333,1.1172,7.436
4.7209,1.1656,7.289
4.8085,1.2141,7.138
4.8961,1.2626,6.985
4.9837,1.3110,6.830
5.0714,1.3594,6.672
5.1591,1.4075,6.513
5.2471,1.4552,6.351
5.3353,1.5026,6.187
5.4238,1.5493,6.028
5.5128,1.5950,5.856
5.6022,1.6402,5.689
5.6921,1.6843,5.519
5.7825,1.7271,5.346
5.8736,1.7686,5.175
5.9655,1.8083,5.003
6.0582,1.8462,4.829
6.1517,1.8817,4.655
6.2462,1.9147,4.481
6.3417,1.9448,4.307
6.4382,1.9714,4.141
6.5357,1.9939,3.972
6.6342,2.0119,3.792
6.7334,2.0249,3.613
6.8333,2.0323,3.439
6.9334,2.0330,3.267
7.0332,2.0261,3.095
7.1321,2.0105,2.942
7.2289,1.9851,2.812
7.3222,1.9487,2.718
7.4100,1.9007,2.617
7.4904,1.8411,2.610
7.5615,1.7706,2.608
7.6220,1.6909,2.673
7.6716,1.6040,2.768
7.7108,1.5119,2.893
7.7401,1.4161,2.871
7.7587,1.3178,2.746
7.7655,1.2179,2.667
7.7591,1.1180,2.647
7.7394,1.0199,2.634
7.7078,0.9249,2.745
7.6661,0.8339,2.881
7.6164,0.7470,3.040
7.5604,0.6640,3.207
7.4994,0.5846,3.376
7.4343,0.5086,3.537
7.3658,0.4356,3.688
7.2945,0.3654,3.836
7.2207,0.2978,3.973
7.1448,0.2324,4.103
7.0673,0.1692,4.225
6.9881,0.1079,4.338
6.9077,0.0483,4.447
6.8262,-0.0097,4.549
6.7437,-0.0664,4.645
6.6604,-0.1219,4.736
6.5764,-0.1764,4.824
6.4919,-0.2301,4.908
6.4071,-0.2832,4.986
6.3218,-0.3357,5.062
6.2365,-0.3880,5.139
6.1511,-0.4403,5.159
6.0659,-0.4927,4.955
5.9809,-0.5456,4.743
5.8963,-0.5991,4.522
5.8122,-0.6534,4.309
5.7290,-0.7090,4.103
5.6467,-0.7661,3.907
5.5657,-0.8249,3.726
5.4861,-0.8856,3.563
5.4083,-0.9485,3.421
5.3326,-1.0140,3.293
5.2592,-1.0821,3.187
5.1885,-1.1530,3.092
5.1208,-1.2267,3.042
5.0565,-1.3034,2.973
4.9958,-1.3829,2.985
4.9389,-1.4653,2.991
4.8861,-1.5503,3.012
4.8375,-1.6379,3.046
4.7932,-1.7276,3.081
4.7533,-1.8194,3.119
